citation_key_lr,citation_key_cp,focal_citations,textual,separate,comp_sup,prp,pos_0,pos_1,pos_2,pos_3,pos_4,pos_5,sentence_popularity amin,sentence_popularity amax,sentence_popularity mean,context_popularity amin,context_popularity amax,context_popularity mean,sentence_density amin,sentence_density amax,sentence_density mean,context_density amin,context_density amax,context_density mean,position_in_sentence amin,position_in_sentence amax,position_in_sentence mean,sentence_neg amin,sentence_neg amax,sentence_neg mean,sentence_neu amin,sentence_neu amax,sentence_neu mean,sentence_pos amin,sentence_pos amax,sentence_pos mean,sentence_compound amin,sentence_compound amax,sentence_compound mean,context_neg amin,context_neg amax,context_neg mean,context_neu amin,context_neu amax,context_neu mean,context_pos amin,context_pos amax,context_pos mean,context_compound amin,context_compound amax,context_compound mean,self_citation,title_similarity,abstract_similarity,SYN,TT,TB,RG,CRI,RA,total_references,total_citations,weighted_citation_count,mention_positions_10,mention_positions_20,mention_positions_30,mention_positions_40,mention_positions_50,mention_positions_60,mention_positions_70,mention_positions_80,mention_positions_90,mention_positions_100,heading_category_NA,heading_category_intro,heading_category_background,heading_category_theory,heading_category_methods,heading_category_results,heading_category_implications,heading_category_appendix,ref_in_title,ref_in_heading,ref_in_figure_description,ref_in_table_description,USE
Brynjolfsson1993,Changchit1998,1,1,1,0,0,0,0,0,0,0,0,2,2,2,4,4,4,0.333333333333333,0.333333333333333,0.333333333333333,0.2,0.2,0.2,0.993939393939394,0.993939393939394,0.993939393939394,0.07,0.07,0.07,0.798,0.798,0.798,0.131,0.131,0.131,0.3182,0.3182,0.3182,0.056,0.056,0.056,0.829,0.829,0.829,0.115,0.115,0.115,0.7506,0.7506,0.7506,False,0.188420517763648,0.021649439602869,True,False,True,True,True,False,40,46,0.021739130434783,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,False,0,0,0,False
Brynjolfsson1993,Chau2007,1,1,0,0,0,0,0,0,0,0,0,1,1,1,2,2,2,0.5,0.5,0.5,0.333333333333333,0.333333333333333,0.333333333333333,0.958333333333333,0.958333333333333,0.958333333333333,0,0,0,0.756,0.756,0.756,0.244,0.244,0.244,0.8402,0.8402,0.8402,0,0,0,0.788,0.788,0.788,0.212,0.212,0.212,0.9485,0.9485,0.9485,False,-0.002868655998161,0.07559068824787,True,False,True,True,True,False,22,54,0.018518518518519,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,False,0,0,0,False
DeLone1992,Chau2007,6,6,3,0,0,0,0,1,0,0,0,0,2,0.666666666666667,0,3,1.16666666666667,0.333333333333333,1,0.75,0.333333333333333,1,0.677777777777778,0.094650205761317,0.995850622406639,0.660119075423862,0,0,0,0.78,0.925,0.855,0.075,0.22,0.145,0.34,0.765,0.580483333333333,0,0.042,0.007,0.811,0.949,0.855833333333333,0.051,0.189,0.137166666666667,0.3818,0.8807,0.715783333333333,False,-0.004494210774897,0.346015705705353,True,False,True,False,False,False,22,54,0.111111111111111,0,4,1,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,False,0,0,0,False
DeLone2003,Chau2007,6,6,4,0,0,0,0,1,0,0,0,0,1,0.5,0,3,1,0.5,1,0.805555555555555,0.4,1,0.733333333333333,0.094650205761317,0.995850622406639,0.659808743185819,0,0,0,0.78,0.925,0.855,0.075,0.22,0.145,0.34,0.765,0.580483333333333,0,0.042,0.007,0.811,0.949,0.855833333333333,0.051,0.189,0.137166666666667,0.3818,0.8807,0.715783333333333,False,0.003062654612315,0.297788610835445,True,True,True,True,False,False,22,54,0.111111111111111,0,4,1,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,False,0,0,0,True
Seddon1999,Chau2007,5,5,5,0,0,3,3,4,0,0,1,0,2,0.4,0,4,2,0.333333333333333,1,0.866666666666667,0.2,1,0.56,0.040322580645161,0.517094017094017,0.297089039160217,0,0,0,0.736,1,0.9146,0,0.264,0.0854,0,0.7269,0.28154,0,0,0,0.827,1,0.9132,0,0.173,0.0868,0,0.9287,0.52264,False,0.012306363392098,0.300509005851834,True,False,True,False,True,False,22,54,0.092592592592593,1,0,3,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,False,0,0,0,False
Brynjolfsson1993,Coltman2007a,2,2,1,0,0,0,0,1,0,0,0,0,1,0.5,1,2,1.5,0.5,1,0.75,0.333333333333333,0.5,0.416666666666667,0,0.994708994708995,0.497354497354497,0,0.191,0.0955,0.809,0.819,0.814,0,0.181,0.0905,-0.4504,0.4767,0.01315,0,0.117,0.0585,0.729,0.883,0.806,0,0.271,0.1355,-0.8153,0.9432,0.06395,False,0.014785807959368,0.033295322819752,True,False,True,True,True,False,61,79,0.025316455696203,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,False,0,0,0,False
Chan2000,Coltman2007a,2,2,1,0,0,0,1,1,0,0,0,0,1,0.5,1,3,2,0.5,1,0.75,0.25,0.5,0.375,0.994152046783626,0.994350282485876,0.994251164634751,0,0.084,0.042,0.841,0.89,0.8655,0.074,0.11,0.092,-0.0772,0.4767,0.19975,0,0.043,0.0215,0.863,0.92,0.8915,0.038,0.137,0.0875,-0.0772,0.8126,0.3677,False,-0.005654714304538,0.047445784247276,True,False,False,True,False,False,61,79,0.025316455696203,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,False,0,0,0,False
Kohli2003,Coltman2007a,1,1,1,0,1,0,0,0,0,0,0,1,1,1,1,1,1,0.5,0.5,0.5,0.5,0.5,0.5,0.991803278688525,0.991803278688525,0.991803278688525,0,0,0,0.787,0.787,0.787,0.213,0.213,0.213,0.4215,0.4215,0.4215,0,0,0,0.832,0.832,0.832,0.168,0.168,0.168,0.8271,0.8271,0.8271,False,0.005098326462167,0.180051890149843,True,True,False,False,False,False,61,79,0.012658227848101,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,False,0,0,0,True
Melville2004,Coltman2007a,2,2,2,0,0,0,2,2,1,0,0,0,0,0,1,2,1.5,1,1,1,0.333333333333333,0.5,0.416666666666667,0.995305164319249,0.996825396825397,0.996065280572323,0,0,0,0.798,0.912,0.855,0.088,0.202,0.145,0.4767,0.8625,0.6696,0,0,0,0.755,0.948,0.8515,0.052,0.245,0.1485,0.6059,0.959,0.78245,False,0.119683536299923,0.184276271610533,True,False,True,True,False,True,61,79,0.025316455696203,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,False,0,0,0,True
Wade2004,Coltman2007a,2,2,0,0,0,0,2,2,0,0,0,1,1,1,4,4,4,0.5,0.5,0.5,0.2,0.2,0.2,0.992063492063492,0.992857142857143,0.992460317460317,0,0,0,0.829,1,0.9145,0,0.171,0.0855,0,0.5423,0.27115,0,0,0,0.868,0.903,0.8855,0.097,0.132,0.1145,0.5106,0.7964,0.6535,False,-0.003365641514588,0.086535957687729,True,False,False,True,False,True,61,79,0.025316455696203,1,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,False,0,0,0,False
