citation_key_lr,citation_key_cp,self_citation,title_similarity,abstract_similarity,ref_in_title,NOT,SYN_TB,CRI_ADDR,RG_SYN,RG_CLOSE,RA_CLOSE,TB_TB,TB_TT,TB_RG,TT_TT,TT_RG
Brynjolfsson1993,Jurison1996,False,0.40428167318141456,0.01709669591418059,False,True,False,False,False,False,False,False,False,False,False,False
Brynjolfsson1993,Karimi1996,False,0.32189293806894914,0.00801622129735322,False,True,False,False,False,False,False,False,False,False,False,False
Brynjolfsson1993,Kim2011,False,0.011371984162247243,0.01360198681206697,False,True,False,False,False,False,False,False,False,False,False,False
Melville2004,Kim2011,False,0.12266794005545144,0.2601709382338901,False,True,False,False,False,False,False,False,False,False,False,False
Wade2004,Kim2011,False,0.003650262909737652,0.16351193126978042,False,True,False,False,False,False,False,False,False,False,False,False
Piccoli2005,Kim2011,False,0.0001956761843656943,0.08424854790410953,False,True,False,False,False,False,False,False,False,False,False,False
Brynjolfsson1993,King2011,False,-0.0004991931490367091,0.0009828279566649392,False,True,False,False,False,False,False,False,False,False,False,False
Brynjolfsson1993,Kohli2003,False,0.30303219674111076,0.04649111167344191,False,False,True,False,False,False,False,True,True,False,False,False
Brynjolfsson1996,Kohli2003,False,0.26993272544086166,0.12973375008682256,False,False,True,False,False,True,False,False,False,False,False,False
Soh1995,Kohli2003,False,0.006728282025287454,0.11437665092541827,False,False,True,False,False,False,False,True,True,False,False,False
DeLone1992,Kohli2003,False,0.11647420681500417,0.14439848774150227,False,True,False,False,False,False,False,False,False,False,False,False
Sircar1998,Kohli2003,False,0.2200571813682884,0.2226347166723786,False,True,False,False,False,False,False,False,False,False,False,False
Brynjolfsson1993,Krell2009,False,0.009781321605026885,0.026156374459096035,False,True,False,False,False,False,False,False,False,False,False,False
Melville2004,Krell2009,False,0.0011941471706873508,0.094785929580908,False,False,True,False,False,False,False,False,False,False,False,False
Piccoli2005,Krell2009,False,0.2473986543030367,0.15458556851267605,False,True,False,False,False,False,False,False,False,False,False,False
Brynjolfsson1993,Kuegler2015,False,-0.007210695824451506,0.054455364298671365,False,True,False,False,False,False,False,False,False,False,False,False
DeLone1992,Kuegler2015,False,-0.0006515327654276911,0.08130931284441954,False,True,False,False,False,False,False,False,False,False,False,False
Petter2008,Kuegler2015,False,0.002763771065584756,0.040863368995169555,False,True,False,False,False,False,False,False,False,False,False,False
Brynjolfsson1993,Kwon2006,False,-0.00025064461696233924,0.058416738442263375,False,True,False,False,False,False,False,False,False,False,False,False
Kohli2003,Kwon2006,False,-0.0028902680198300335,0.13047910949381025,False,True,False,False,False,False,False,False,False,False,False,False
Dedrick2003,Kwon2006,False,-0.020519886946406014,0.08274306783846411,False,False,False,False,False,True,False,False,False,False,False,False
Brynjolfsson1993,Lee1995,False,-0.01136962924226443,0.05827034971673685,False,True,False,False,False,False,False,False,False,False,False,False
Brynjolfsson1993,Mahmood2000,False,0.3592472990824629,0.17920246037922324,False,False,False,False,False,False,False,False,False,True,False,False
Brynjolfsson1993,Melville2004,False,0.3242031870760889,0.07862018836461247,False,True,False,False,False,False,False,False,False,False,False,False
Brynjolfsson1996,Melville2004,False,0.4655028842976978,0.0649434756938709,False,True,False,False,False,False,False,False,False,False,False,False
Soh1995,Melville2004,False,0.2995528364350718,0.17798566660332737,False,True,False,False,False,False,False,False,False,False,False,False
Kohli2003,Melville2004,False,0.20050566021845986,0.17049223405648686,False,False,True,False,False,False,False,False,False,False,False,False
Chan2000,Melville2004,False,0.24343794455066664,0.1352879166247361,False,True,False,False,False,False,False,False,False,False,False,False
Dehning2002,Melville2004,False,0.27524809833025476,0.4712066910897408,False,False,True,False,False,False,False,True,False,False,False,False
Dedrick2003,Melville2004,True,0.497569682665196,0.2364795849923014,False,True,False,False,False,False,False,False,False,False,False,False
Brynjolfsson1993,Merali2012,False,0.1795246101497766,0.03534056283556389,False,True,False,False,False,False,False,False,False,False,False,False
Melville2004,Merali2012,False,0.12167721538355077,0.13170620437279273,False,True,False,False,False,False,False,False,False,False,False,False
Wade2004,Merali2012,False,0.31184251114580464,0.16327022821572013,False,True,False,False,False,False,False,False,False,False,False,False
Piccoli2005,Merali2012,False,0.0033285731494476427,0.15060781699677814,False,True,False,False,False,False,False,False,False,False,False,False
Brynjolfsson1993,Mitra1996,False,0.3797988957759749,0.14785199552269457,False,True,False,False,False,False,False,False,False,False,False,False
Brynjolfsson1993,Mueller2010,False,-0.0013552764509582173,0.03255651677893491,False,True,False,False,False,False,False,False,False,False,False,False
DeLone1992,Mueller2010,False,-0.0015707391902440003,0.1268398808440354,False,True,False,False,False,False,False,False,False,False,False,False
DeLone2003,Mueller2010,False,0.0031027216550574372,0.1487904702318357,False,True,False,False,False,False,False,False,False,False,False,False
Kohli2003,Mueller2010,False,0.003970223108173374,0.09320970207707892,False,True,False,False,False,False,False,False,False,False,False,False
Seddon1999,Mueller2010,False,-0.00673928380922064,0.06517680057025638,False,True,False,False,False,False,False,False,False,False,False,False
Melville2004,Mueller2010,False,0.009104199466456459,0.1774742175405099,False,True,False,False,False,False,False,False,False,False,False,False
Kohli2008,Mueller2010,False,-0.003405837769551962,0.12740348070610255,False,True,False,False,False,False,False,False,False,False,False,False
Brynjolfsson1993,Mukhopadhyay1995,False,0.34877317004489194,0.05240922926921294,False,True,False,False,False,False,False,False,False,False,False,False
Brynjolfsson1993,Newell2014,False,-0.008341976071251131,0.062151157318106116,False,True,False,False,False,False,False,False,False,False,False,False
Roberts2012,Newell2014,False,0.10347445969179547,0.0,False,True,False,False,False,False,False,False,False,False,False,False
Brynjolfsson1993,Oh2007,False,0.1547097281009015,0.06470561761399779,False,True,False,False,False,False,False,False,False,False,False,False
Soh1995,Oh2007,False,0.17942561635670076,0.15407231069914007,False,True,False,False,False,False,False,False,False,False,False,False
Kohli2003,Oh2007,False,0.0972172299524574,0.15009202368900404,False,True,False,False,False,False,False,False,False,False,False,False
Melville2004,Oh2007,False,0.23376842848579274,0.2732427528587649,False,False,False,False,False,False,False,False,True,False,False,False
Wade2004,Oh2007,False,0.08080885057608088,0.16639087360993896,False,True,False,False,False,False,False,False,False,False,False,False
Brynjolfsson1993,Orlikowski2001a,False,0.4793480132954243,0.17143202322418358,False,True,False,False,False,False,False,False,False,False,False,False
Brynjolfsson1993,Palmer2000,False,0.006465747313756564,0.10238937896231896,False,True,False,False,False,False,False,False,False,False,False,False
Brynjolfsson1993,Pang2014a,False,0.004582321550292172,0.08936635434848103,False,True,False,False,False,False,False,False,False,False,False,False
Melville2004,Pang2014a,False,0.24217991381846188,0.33789082356198885,False,True,False,False,False,False,False,False,False,False,False,False
Wade2004,Pang2014a,False,0.006723163616584136,0.14537409169176224,False,False,True,False,False,False,False,False,False,False,False,False
